GID	Pathway	Pathway_Name	Pathway_Class	Pathway_Subclass
7244	Cchi11318	ko04080	Neuroactive ligand-receptor interaction	Environmental Information Processing	Signaling molecules and interaction
7245	Cchi11318	ko04713	Circadian entrainment	Organismal Systems	Environmental adaptation
7246	Cchi11318	ko04720	Long-term potentiation	Organismal Systems	Nervous system
7247	Cchi11318	ko04724	Glutamatergic synapse	Organismal Systems	Nervous system
7255	Cchi11319	ko04922	Glucagon signaling pathway	Organismal Systems	Endocrine system
7256	Cchi11321	ko04013	MAPK signaling pathway - fly	Environmental Information Processing	Signal transduction
7257	Cchi11327	ko00561	Glycerolipid metabolism	Metabolism	Lipid metabolism
7258	Cchi11327	ko00564	Glycerophospholipid metabolism	Metabolism	Lipid metabolism
7259	Cchi11327	ko04072	Phospholipase D signaling pathway	Environmental Information Processing	Signal transduction
7260	Cchi11327	ko04975	Fat digestion and absorption	Organismal Systems	Digestive system
7261	Cchi11333	ko04721	Synaptic vesicle cycle	Organismal Systems	Nervous system
7262	Cchi11333	ko04726	Serotonergic synapse	Organismal Systems	Nervous system
7263	Cchi11333	ko04728	Dopaminergic synapse	Organismal Systems	Nervous system
7268	Cchi11334	ko03040	Spliceosome	Genetic Information Processing	Transcription
7269	Cchi11337	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
7270	Cchi11337	ko04145	Phagosome	Cellular Processes	Transport and catabolism
7271	Cchi11342	ko03440	Homologous recombination	Genetic Information Processing	Replication and repair
7272	Cchi11342	ko03460	Fanconi anemia pathway	Genetic Information Processing	Replication and repair
7273	Cchi11352	ko00220	Arginine biosynthesis	Metabolism	Amino acid metabolism
7274	Cchi11352	ko00250	Alanine, aspartate and glutamate metabolism	Metabolism	Amino acid metabolism
7275	Cchi11352	ko00270	Cysteine and methionine metabolism	Metabolism	Amino acid metabolism
7276	Cchi11352	ko00330	Arginine and proline metabolism	Metabolism	Amino acid metabolism
7277	Cchi11352	ko00350	Tyrosine metabolism	Metabolism	Amino acid metabolism
7278	Cchi11352	ko00360	Phenylalanine metabolism	Metabolism	Amino acid metabolism
7279	Cchi11352	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	Metabolism	Amino acid metabolism
7280	Cchi11352	ko00710	Carbon fixation in photosynthetic organisms	Metabolism	Energy metabolism
7281	Cchi11352	ko00950	Isoquinoline alkaloid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
7282	Cchi11352	ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
7283	Cchi11352	ko04975	Fat digestion and absorption	Organismal Systems	Digestive system
7285	Cchi11357	ko04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction
7286	Cchi11357	ko04014	Ras signaling pathway	Environmental Information Processing	Signal transduction
7287	Cchi11357	ko04020	Calcium signaling pathway	Environmental Information Processing	Signal transduction
7288	Cchi11357	ko04024	cAMP signaling pathway	Environmental Information Processing	Signal transduction
7289	Cchi11357	ko04062	Chemokine signaling pathway	Organismal Systems	Immune system
7290	Cchi11357	ko04113	Meiosis - yeast	Cellular Processes	Cell growth and death
7291	Cchi11357	ko04114	Oocyte meiosis	Cellular Processes	Cell growth and death
7292	Cchi11357	ko04138	Autophagy - yeast	Cellular Processes	Transport and catabolism
7293	Cchi11357	ko04140	Autophagy - animal	Cellular Processes	Transport and catabolism
7294	Cchi11357	ko04211	Longevity regulating pathway	Organismal Systems	Aging
7295	Cchi11357	ko04213	Longevity regulating pathway - multiple species	Organismal Systems	Aging
7296	Cchi11357	ko04261	Adrenergic signaling in cardiomyocytes	Organismal Systems	Circulatory system
7297	Cchi11357	ko04270	Vascular smooth muscle contraction	Organismal Systems	Circulatory system
7298	Cchi11357	ko04310	Wnt signaling pathway	Environmental Information Processing	Signal transduction
7299	Cchi11357	ko04340	Hedgehog signaling pathway	Environmental Information Processing	Signal transduction
7300	Cchi11357	ko04341	Hedgehog signaling pathway - fly	Environmental Information Processing	Signal transduction
7301	Cchi11357	ko04371	Apelin signaling pathway	Environmental Information Processing	Signal transduction
7302	Cchi11357	ko04530	Tight junction	Cellular Processes	Cellular community - eukaryotes
7303	Cchi11357	ko04540	Gap junction	Cellular Processes	Cellular community - eukaryotes
7304	Cchi11357	ko04611	Platelet activation	Organismal Systems	Immune system
7305	Cchi11357	ko04713	Circadian entrainment	Organismal Systems	Environmental adaptation
7306	Cchi11357	ko04714	Thermogenesis	Organismal Systems	Environmental adaptation
7307	Cchi11357	ko04720	Long-term potentiation	Organismal Systems	Nervous system
7308	Cchi11357	ko04723	Retrograde endocannabinoid signaling	Organismal Systems	Nervous system
7309	Cchi11357	ko04724	Glutamatergic synapse	Organismal Systems	Nervous system
7310	Cchi11357	ko04725	Cholinergic synapse	Organismal Systems	Nervous system
7311	Cchi11357	ko04726	Serotonergic synapse	Organismal Systems	Nervous system
7312	Cchi11357	ko04727	GABAergic synapse	Organismal Systems	Nervous system
7313	Cchi11357	ko04728	Dopaminergic synapse	Organismal Systems	Nervous system
7314	Cchi11357	ko04740	Olfactory transduction	Organismal Systems	Sensory system
7315	Cchi11357	ko04742	Taste transduction	Organismal Systems	Sensory system
7316	Cchi11357	ko04750	Inflammatory mediator regulation of TRP channels	Organismal Systems	Sensory system
7317	Cchi11357	ko04910	Insulin signaling pathway	Organismal Systems	Endocrine system
7318	Cchi11357	ko04911	Insulin secretion	Organismal Systems	Endocrine system
7319	Cchi11357	ko04912	GnRH signaling pathway	Organismal Systems	Endocrine system
7320	Cchi11357	ko04913	Ovarian steroidogenesis	Organismal Systems	Endocrine system
7321	Cchi11357	ko04914	Progesterone-mediated oocyte maturation	Organismal Systems	Endocrine system
7322	Cchi11357	ko04915	Estrogen signaling pathway	Organismal Systems	Endocrine system
7323	Cchi11357	ko04916	Melanogenesis	Organismal Systems	Endocrine system
7324	Cchi11357	ko04918	Thyroid hormone synthesis	Organismal Systems	Endocrine system
7325	Cchi11357	ko04919	Thyroid hormone signaling pathway	Organismal Systems	Endocrine system
7326	Cchi11357	ko04921	Oxytocin signaling pathway	Organismal Systems	Endocrine system
7327	Cchi11357	ko04922	Glucagon signaling pathway	Organismal Systems	Endocrine system
7328	Cchi11357	ko04923	Regulation of lipolysis in adipocytes	Organismal Systems	Endocrine system
7329	Cchi11357	ko04924	Renin secretion	Organismal Systems	Endocrine system
7330	Cchi11357	ko04925	Aldosterone synthesis and secretion	Organismal Systems	Endocrine system
7331	Cchi11357	ko04926	Relaxin signaling pathway	Organismal Systems	Endocrine system
7332	Cchi11357	ko04927	Cortisol synthesis and secretion	Organismal Systems	Endocrine system
7334	Cchi11357	ko04961	Endocrine and other factor-regulated calcium reabsorption	Organismal Systems	Excretory system
7335	Cchi11357	ko04962	Vasopressin-regulated water reabsorption	Organismal Systems	Excretory system
7336	Cchi11357	ko04970	Salivary secretion	Organismal Systems	Digestive system
7337	Cchi11357	ko04971	Gastric acid secretion	Organismal Systems	Digestive system
7338	Cchi11357	ko04976	Bile secretion	Organismal Systems	Digestive system
7353	Cchi11358	ko03022	Basal transcription factors	Genetic Information Processing	Transcription
7356	Cchi11384	ko00860	Porphyrin and chlorophyll metabolism	Metabolism	Metabolism of cofactors and vitamins
7357	Cchi11397	ko00010	Glycolysis / Gluconeogenesis	Metabolism	Carbohydrate metabolism
7358	Cchi11397	ko00710	Carbon fixation in photosynthetic organisms	Metabolism	Energy metabolism
7359	Cchi11397	ko04066	HIF-1 signaling pathway	Environmental Information Processing	Signal transduction
7361	Cchi11404	ko03010	Ribosome	Genetic Information Processing	Translation
7362	Cchi11411	ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing	Folding, sorting and degradation
7363	Cchi11411	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
7364	Cchi11412	ko03015	mRNA surveillance pathway	Genetic Information Processing	Translation
7365	Cchi11413	ko00970	Aminoacyl-tRNA biosynthesis	Genetic Information Processing	Translation
7367	Cchi11414	ko03013	RNA transport	Genetic Information Processing	Translation
7368	Cchi11414	ko03015	mRNA surveillance pathway	Genetic Information Processing	Translation
7369	Cchi11414	ko03040	Spliceosome	Genetic Information Processing	Transcription
7371	Cchi11417	ko03040	Spliceosome	Genetic Information Processing	Transcription
7372	Cchi11422	ko03018	RNA degradation	Genetic Information Processing	Folding, sorting and degradation
7373	Cchi11424	ko00970	Aminoacyl-tRNA biosynthesis	Genetic Information Processing	Translation
7374	Cchi11433	ko04145	Phagosome	Cellular Processes	Transport and catabolism
7375	Cchi11433	ko04540	Gap junction	Cellular Processes	Cellular community - eukaryotes
7377	Cchi11434	ko00230	Purine metabolism	Metabolism	Nucleotide metabolism
7378	Cchi11434	ko00240	Pyrimidine metabolism	Metabolism	Nucleotide metabolism
7379	Cchi11434	ko03020	RNA polymerase	Genetic Information Processing	Transcription
7380	Cchi11442	ko04020	Calcium signaling pathway	Environmental Information Processing	Signal transduction
7381	Cchi11442	ko04024	cAMP signaling pathway	Environmental Information Processing	Signal transduction
7382	Cchi11442	ko04260	Cardiac muscle contraction	Organismal Systems	Circulatory system
7383	Cchi11442	ko04261	Adrenergic signaling in cardiomyocytes	Organismal Systems	Circulatory system
7384	Cchi11442	ko04371	Apelin signaling pathway	Environmental Information Processing	Signal transduction
7385	Cchi11442	ko04713	Circadian entrainment	Organismal Systems	Environmental adaptation
7386	Cchi11442	ko04911	Insulin secretion	Organismal Systems	Endocrine system
7387	Cchi11442	ko04921	Oxytocin signaling pathway	Organismal Systems	Endocrine system
7388	Cchi11442	ko04972	Pancreatic secretion	Organismal Systems	Digestive system
7392	Cchi11444	ko04020	Calcium signaling pathway	Environmental Information Processing	Signal transduction
7393	Cchi11444	ko04024	cAMP signaling pathway	Environmental Information Processing	Signal transduction
7394	Cchi11444	ko04260	Cardiac muscle contraction	Organismal Systems	Circulatory system
7395	Cchi11444	ko04261	Adrenergic signaling in cardiomyocytes	Organismal Systems	Circulatory system
7396	Cchi11444	ko04371	Apelin signaling pathway	Environmental Information Processing	Signal transduction
7397	Cchi11444	ko04713	Circadian entrainment	Organismal Systems	Environmental adaptation
7398	Cchi11444	ko04911	Insulin secretion	Organismal Systems	Endocrine system
7399	Cchi11444	ko04921	Oxytocin signaling pathway	Organismal Systems	Endocrine system
7400	Cchi11444	ko04972	Pancreatic secretion	Organismal Systems	Digestive system
7404	Cchi11454	ko04621	NOD-like receptor signaling pathway	Organismal Systems	Immune system
7406	Cchi11458	ko00040	Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism
7407	Cchi11458	ko00053	Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism
7408	Cchi11458	ko00140	Steroid hormone biosynthesis	Metabolism	Lipid metabolism
7409	Cchi11458	ko00830	Retinol metabolism	Metabolism	Metabolism of cofactors and vitamins
7410	Cchi11458	ko00860	Porphyrin and chlorophyll metabolism	Metabolism	Metabolism of cofactors and vitamins
7411	Cchi11458	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
7412	Cchi11458	ko00982	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
7413	Cchi11458	ko00983	Drug metabolism - other enzymes	Metabolism	Xenobiotics biodegradation and metabolism
7415	Cchi11461	ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing	Folding, sorting and degradation
7416	Cchi11468	ko03013	RNA transport	Genetic Information Processing	Translation
7418	Cchi11470	ko04020	Calcium signaling pathway	Environmental Information Processing	Signal transduction
7419	Cchi11470	ko04910	Insulin signaling pathway	Organismal Systems	Endocrine system
7420	Cchi11470	ko04922	Glucagon signaling pathway	Organismal Systems	Endocrine system
7421	Cchi11472	ko00230	Purine metabolism	Metabolism	Nucleotide metabolism
7422	Cchi11472	ko00983	Drug metabolism - other enzymes	Metabolism	Xenobiotics biodegradation and metabolism
7423	Cchi11479	ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	Metabolism	Glycan biosynthesis and metabolism
7424	Cchi11482	ko00520	Amino sugar and nucleotide sugar metabolism	Metabolism	Carbohydrate metabolism
7425	Cchi11499	ko00230	Purine metabolism	Metabolism	Nucleotide metabolism
7426	Cchi11499	ko00232	Caffeine metabolism	Metabolism	Biosynthesis of other secondary metabolites
7427	Cchi11509	ko00040	Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism
7428	Cchi11509	ko00053	Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism
7429	Cchi11509	ko00140	Steroid hormone biosynthesis	Metabolism	Lipid metabolism
7430	Cchi11509	ko00830	Retinol metabolism	Metabolism	Metabolism of cofactors and vitamins
7431	Cchi11509	ko00860	Porphyrin and chlorophyll metabolism	Metabolism	Metabolism of cofactors and vitamins
7432	Cchi11509	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
7433	Cchi11509	ko00982	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
7434	Cchi11509	ko00983	Drug metabolism - other enzymes	Metabolism	Xenobiotics biodegradation and metabolism
7436	Cchi11513	ko03013	RNA transport	Genetic Information Processing	Translation
7437	Cchi11517	ko04711	Circadian rhythm - fly	Organismal Systems	Environmental adaptation
7438	Cchi11521	ko03410	Base excision repair	Genetic Information Processing	Replication and repair
7439	Cchi11522	ko03010	Ribosome	Genetic Information Processing	Translation
7440	Cchi11523	ko04979	Cholesterol metabolism	Organismal Systems	Digestive system
7441	Cchi11526	ko00564	Glycerophospholipid metabolism	Metabolism	Lipid metabolism
7442	Cchi11528	ko03060	Protein export	Genetic Information Processing	Folding, sorting and degradation
7443	Cchi11528	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing	Folding, sorting and degradation
7444	Cchi11528	ko04145	Phagosome	Cellular Processes	Transport and catabolism
7446	Cchi11548	ko03013	RNA transport	Genetic Information Processing	Translation
7447	Cchi11548	ko03015	mRNA surveillance pathway	Genetic Information Processing	Translation
7448	Cchi11548	ko03040	Spliceosome	Genetic Information Processing	Transcription
7449	Cchi11559	ko03010	Ribosome	Genetic Information Processing	Translation
7450	Cchi11560	ko04068	FoxO signaling pathway	Environmental Information Processing	Signal transduction
7454	Cchi11566	ko00230	Purine metabolism	Metabolism	Nucleotide metabolism
7455	Cchi11569	ko00310	Lysine degradation	Metabolism	Amino acid metabolism
7456	Cchi11576	ko04151	PI3K-Akt signaling pathway	Environmental Information Processing	Signal transduction
7457	Cchi11583	ko04390	Hippo signaling pathway	Environmental Information Processing	Signal transduction
7458	Cchi11583	ko04391	Hippo signaling pathway - fly	Environmental Information Processing	Signal transduction
7459	Cchi11583	ko04392	Hippo signaling pathway - multiple species	Environmental Information Processing	Signal transduction
7460	Cchi11583	ko04530	Tight junction	Cellular Processes	Cellular community - eukaryotes
7461	Cchi11584	ko04390	Hippo signaling pathway	Environmental Information Processing	Signal transduction
7462	Cchi11584	ko04391	Hippo signaling pathway - fly	Environmental Information Processing	Signal transduction
7463	Cchi11584	ko04392	Hippo signaling pathway - multiple species	Environmental Information Processing	Signal transduction
7464	Cchi11584	ko04530	Tight junction	Cellular Processes	Cellular community - eukaryotes
7465	Cchi11586	ko00514	Other types of O-glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
7466	Cchi11586	ko00515	Mannose type O-glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
7467	Cchi11590	ko04530	Tight junction	Cellular Processes	Cellular community - eukaryotes
7468	Cchi11595	ko04014	Ras signaling pathway	Environmental Information Processing	Signal transduction
7469	Cchi11595	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
7470	Cchi11595	ko04145	Phagosome	Cellular Processes	Transport and catabolism
7471	Cchi11595	ko04962	Vasopressin-regulated water reabsorption	Organismal Systems	Excretory system
7474	Cchi11600	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
7475	Cchi11600	ko04666	Fc gamma R-mediated phagocytosis	Organismal Systems	Immune system
7476	Cchi11600	ko04810	Regulation of actin cytoskeleton	Cellular Processes	Cell motility
7481	Cchi11601	ko00062	Fatty acid elongation	Metabolism	Lipid metabolism
7482	Cchi11601	ko04142	Lysosome	Cellular Processes	Transport and catabolism
7483	Cchi11606	ko00940	Phenylpropanoid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
7484	Cchi11619	ko04136	Autophagy - other	Cellular Processes	Transport and catabolism
7485	Cchi11619	ko04138	Autophagy - yeast	Cellular Processes	Transport and catabolism
7486	Cchi11619	ko04140	Autophagy - animal	Cellular Processes	Transport and catabolism
7488	Cchi11644	ko04012	ErbB signaling pathway	Environmental Information Processing	Signal transduction
7489	Cchi11644	ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing	Folding, sorting and degradation
7490	Cchi11644	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
7491	Cchi11644	ko04660	T cell receptor signaling pathway	Organismal Systems	Immune system
7492	Cchi11644	ko04910	Insulin signaling pathway	Organismal Systems	Endocrine system
7497	Cchi11647	ko04012	ErbB signaling pathway	Environmental Information Processing	Signal transduction
7498	Cchi11647	ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing	Folding, sorting and degradation
7499	Cchi11647	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
7500	Cchi11647	ko04660	T cell receptor signaling pathway	Organismal Systems	Immune system
7501	Cchi11647	ko04910	Insulin signaling pathway	Organismal Systems	Endocrine system
7506	Cchi11653	ko03022	Basal transcription factors	Genetic Information Processing	Transcription
7508	Cchi11663	ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series	Metabolism	Glycan biosynthesis and metabolism
7509	Cchi11663	ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series	Metabolism	Glycan biosynthesis and metabolism
7510	Cchi11670	ko04072	Phospholipase D signaling pathway	Environmental Information Processing	Signal transduction
7511	Cchi11670	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
7512	Cchi11672	ko04024	cAMP signaling pathway	Environmental Information Processing	Signal transduction
7513	Cchi11672	ko04080	Neuroactive ligand-receptor interaction	Environmental Information Processing	Signaling molecules and interaction
7514	Cchi11672	ko04918	Thyroid hormone synthesis	Organismal Systems	Endocrine system
7515	Cchi11672	ko04923	Regulation of lipolysis in adipocytes	Organismal Systems	Endocrine system
7517	Cchi11677	ko04137	Mitophagy - animal	Cellular Processes	Transport and catabolism
7518	Cchi11677	ko04139	Mitophagy - yeast	Cellular Processes	Transport and catabolism
7519	Cchi11684	ko04020	Calcium signaling pathway	Environmental Information Processing	Signal transduction
7520	Cchi11684	ko04022	cGMP-PKG signaling pathway	Environmental Information Processing	Signal transduction
7521	Cchi11684	ko04270	Vascular smooth muscle contraction	Organismal Systems	Circulatory system
7522	Cchi11684	ko04371	Apelin signaling pathway	Environmental Information Processing	Signal transduction
7523	Cchi11684	ko04510	Focal adhesion	Cellular Processes	Cellular community - eukaryotes
7524	Cchi11684	ko04611	Platelet activation	Organismal Systems	Immune system
7525	Cchi11684	ko04810	Regulation of actin cytoskeleton	Cellular Processes	Cell motility
7526	Cchi11684	ko04921	Oxytocin signaling pathway	Organismal Systems	Endocrine system
7527	Cchi11684	ko04971	Gastric acid secretion	Organismal Systems	Digestive system
7528	Cchi11685	ko04020	Calcium signaling pathway	Environmental Information Processing	Signal transduction
7529	Cchi11685	ko04022	cGMP-PKG signaling pathway	Environmental Information Processing	Signal transduction
7530	Cchi11685	ko04270	Vascular smooth muscle contraction	Organismal Systems	Circulatory system
7531	Cchi11685	ko04371	Apelin signaling pathway	Environmental Information Processing	Signal transduction
7532	Cchi11685	ko04510	Focal adhesion	Cellular Processes	Cellular community - eukaryotes
7533	Cchi11685	ko04611	Platelet activation	Organismal Systems	Immune system
7534	Cchi11685	ko04810	Regulation of actin cytoskeleton	Cellular Processes	Cell motility
7535	Cchi11685	ko04921	Oxytocin signaling pathway	Organismal Systems	Endocrine system
7536	Cchi11685	ko04971	Gastric acid secretion	Organismal Systems	Digestive system
7538	Cchi11693	ko04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction
7539	Cchi11693	ko04014	Ras signaling pathway	Environmental Information Processing	Signal transduction
7540	Cchi11693	ko04015	Rap1 signaling pathway	Environmental Information Processing	Signal transduction
7541	Cchi11693	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
7542	Cchi11693	ko04146	Peroxisome	Cellular Processes	Transport and catabolism
7543	Cchi11693	ko04151	PI3K-Akt signaling pathway	Environmental Information Processing	Signal transduction
7544	Cchi11693	ko04550	Signaling pathways regulating pluripotency of stem cells	Cellular Processes	Cellular community - eukaryotes
7545	Cchi11693	ko04810	Regulation of actin cytoskeleton	Cellular Processes	Cell motility
7550	Cchi11706	ko03013	RNA transport	Genetic Information Processing	Translation
7551	Cchi11710	ko00010	Glycolysis / Gluconeogenesis	Metabolism	Carbohydrate metabolism
7552	Cchi11710	ko00030	Pentose phosphate pathway	Metabolism	Carbohydrate metabolism
7553	Cchi11710	ko00051	Fructose and mannose metabolism	Metabolism	Carbohydrate metabolism
7554	Cchi11710	ko00680	Methane metabolism	Metabolism	Energy metabolism
7555	Cchi11710	ko00710	Carbon fixation in photosynthetic organisms	Metabolism	Energy metabolism
7556	Cchi11712	ko04020	Calcium signaling pathway	Environmental Information Processing	Signal transduction
7557	Cchi11712	ko04022	cGMP-PKG signaling pathway	Environmental Information Processing	Signal transduction
7558	Cchi11712	ko04270	Vascular smooth muscle contraction	Organismal Systems	Circulatory system
7559	Cchi11712	ko04371	Apelin signaling pathway	Environmental Information Processing	Signal transduction
7560	Cchi11712	ko04510	Focal adhesion	Cellular Processes	Cellular community - eukaryotes
7561	Cchi11712	ko04611	Platelet activation	Organismal Systems	Immune system
7562	Cchi11712	ko04810	Regulation of actin cytoskeleton	Cellular Processes	Cell motility
7563	Cchi11712	ko04921	Oxytocin signaling pathway	Organismal Systems	Endocrine system
7564	Cchi11712	ko04971	Gastric acid secretion	Organismal Systems	Digestive system
7565	Cchi11716	ko02024	Quorum sensing	Cellular Processes	Cellular community - prokaryotes
7566	Cchi11716	ko03060	Protein export	Genetic Information Processing	Folding, sorting and degradation
7567	Cchi11716	ko03070	Bacterial secretion system	Environmental Information Processing	Membrane transport
7568	Cchi11741	ko00061	Fatty acid biosynthesis	Metabolism	Lipid metabolism
7569	Cchi11741	ko00333	Prodigiosin biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
7570	Cchi11748	ko04138	Autophagy - yeast	Cellular Processes	Transport and catabolism
7571	Cchi11748	ko04550	Signaling pathways regulating pluripotency of stem cells	Cellular Processes	Cellular community - eukaryotes
7578	Cchi11779	ko03018	RNA degradation	Genetic Information Processing	Folding, sorting and degradation
7579	Cchi11780	ko03018	RNA degradation	Genetic Information Processing	Folding, sorting and degradation
7580	Cchi11781	ko03018	RNA degradation	Genetic Information Processing	Folding, sorting and degradation
7581	Cchi11793	ko00860	Porphyrin and chlorophyll metabolism	Metabolism	Metabolism of cofactors and vitamins
7582	Cchi11793	ko00970	Aminoacyl-tRNA biosynthesis	Genetic Information Processing	Translation
7583	Cchi11802	ko03440	Homologous recombination	Genetic Information Processing	Replication and repair
7584	Cchi11802	ko03450	Non-homologous end-joining	Genetic Information Processing	Replication and repair
7585	Cchi11802	ko04218	Cellular senescence	Cellular Processes	Cell growth and death
7586	Cchi11805	ko04024	cAMP signaling pathway	Environmental Information Processing	Signal transduction
7587	Cchi11805	ko04152	AMPK signaling pathway	Environmental Information Processing	Signal transduction
7588	Cchi11805	ko04371	Apelin signaling pathway	Environmental Information Processing	Signal transduction
7589	Cchi11805	ko04714	Thermogenesis	Organismal Systems	Environmental adaptation
7590	Cchi11805	ko04910	Insulin signaling pathway	Organismal Systems	Endocrine system
7591	Cchi11805	ko04923	Regulation of lipolysis in adipocytes	Organismal Systems	Endocrine system
7592	Cchi11805	ko04925	Aldosterone synthesis and secretion	Organismal Systems	Endocrine system
7594	Cchi11818	ko04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction
7595	Cchi11818	ko04014	Ras signaling pathway	Environmental Information Processing	Signal transduction
7596	Cchi11818	ko04062	Chemokine signaling pathway	Organismal Systems	Immune system
7597	Cchi11818	ko04064	NF-kappa B signaling pathway	Environmental Information Processing	Signal transduction
7598	Cchi11818	ko04068	FoxO signaling pathway	Environmental Information Processing	Signal transduction
7599	Cchi11818	ko04150	mTOR signaling pathway	Environmental Information Processing	Signal transduction
7600	Cchi11818	ko04151	PI3K-Akt signaling pathway	Environmental Information Processing	Signal transduction
7601	Cchi11818	ko04210	Apoptosis	Cellular Processes	Cell growth and death
7602	Cchi11818	ko04380	Osteoclast differentiation	Organismal Systems	Development
7603	Cchi11818	ko04620	Toll-like receptor signaling pathway	Organismal Systems	Immune system
7604	Cchi11818	ko04621	NOD-like receptor signaling pathway	Organismal Systems	Immune system
7605	Cchi11818	ko04622	RIG-I-like receptor signaling pathway	Organismal Systems	Immune system
7606	Cchi11818	ko04623	Cytosolic DNA-sensing pathway	Organismal Systems	Immune system
7607	Cchi11818	ko04624	Toll and Imd signaling pathway	Organismal Systems	Immune system
7608	Cchi11818	ko04657	IL-17 signaling pathway	Organismal Systems	Immune system
7609	Cchi11818	ko04658	Th1 and Th2 cell differentiation	Organismal Systems	Immune system
7610	Cchi11818	ko04659	Th17 cell differentiation	Organismal Systems	Immune system
7611	Cchi11818	ko04660	T cell receptor signaling pathway	Organismal Systems	Immune system
7612	Cchi11818	ko04662	B cell receptor signaling pathway	Organismal Systems	Immune system
7613	Cchi11818	ko04668	TNF signaling pathway	Environmental Information Processing	Signal transduction
7614	Cchi11818	ko04722	Neurotrophin signaling pathway	Organismal Systems	Nervous system
7615	Cchi11818	ko04910	Insulin signaling pathway	Organismal Systems	Endocrine system
7616	Cchi11818	ko04920	Adipocytokine signaling pathway	Organismal Systems	Endocrine system
7642	Cchi11835	ko04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction
7643	Cchi11835	ko04014	Ras signaling pathway	Environmental Information Processing	Signal transduction
7644	Cchi11835	ko04020	Calcium signaling pathway	Environmental Information Processing	Signal transduction
7645	Cchi11835	ko04024	cAMP signaling pathway	Environmental Information Processing	Signal transduction
7646	Cchi11835	ko04062	Chemokine signaling pathway	Organismal Systems	Immune system
7647	Cchi11835	ko04113	Meiosis - yeast	Cellular Processes	Cell growth and death
7648	Cchi11835	ko04114	Oocyte meiosis	Cellular Processes	Cell growth and death
7649	Cchi11835	ko04138	Autophagy - yeast	Cellular Processes	Transport and catabolism
7650	Cchi11835	ko04140	Autophagy - animal	Cellular Processes	Transport and catabolism
7651	Cchi11835	ko04211	Longevity regulating pathway	Organismal Systems	Aging
7652	Cchi11835	ko04213	Longevity regulating pathway - multiple species	Organismal Systems	Aging
7653	Cchi11835	ko04261	Adrenergic signaling in cardiomyocytes	Organismal Systems	Circulatory system
7654	Cchi11835	ko04270	Vascular smooth muscle contraction	Organismal Systems	Circulatory system
7655	Cchi11835	ko04310	Wnt signaling pathway	Environmental Information Processing	Signal transduction
7656	Cchi11835	ko04340	Hedgehog signaling pathway	Environmental Information Processing	Signal transduction
7657	Cchi11835	ko04341	Hedgehog signaling pathway - fly	Environmental Information Processing	Signal transduction
7658	Cchi11835	ko04371	Apelin signaling pathway	Environmental Information Processing	Signal transduction
7659	Cchi11835	ko04530	Tight junction	Cellular Processes	Cellular community - eukaryotes
7660	Cchi11835	ko04540	Gap junction	Cellular Processes	Cellular community - eukaryotes
7661	Cchi11835	ko04611	Platelet activation	Organismal Systems	Immune system
7662	Cchi11835	ko04713	Circadian entrainment	Organismal Systems	Environmental adaptation
7663	Cchi11835	ko04714	Thermogenesis	Organismal Systems	Environmental adaptation
7664	Cchi11835	ko04720	Long-term potentiation	Organismal Systems	Nervous system
7665	Cchi11835	ko04723	Retrograde endocannabinoid signaling	Organismal Systems	Nervous system
